line,gene,is_ATP_gene
Line 4,capsule biosynthesis gfcc family protein,False
Line 4,citt,False
Line 4,cyob,False
Line 4,dcua,False
Line 4,deaminated glutathione amidase,False
Line 4,deob,False
Line 4,dmsd,False
Line 4,dosp,False
Line 4,dpal,False
Line 4,duf1116 domain-containing protein,False
Line 4,duf1449 family protein,False
Line 4,duf418 family protein,False
Line 4,duf898 domain-containing protein,False
Line 4,dxs,False
Line 4,enoyl-coa hydratase/isomerase family protein,False
Line 4,eutg,False
Line 4,eutr,False
Line 4,fdec,False
Line 4,fimbrial protein,False
Line 4,fimc,False
Line 4,fnr,False
Line 4,folc,True
Line 4,folm,False
Line 4,folp,False
Line 4,frlb,False
Line 4,frld,True
Line 4,ftsk,False
Line 4,fusa,False
Line 4,glne,True
Line 4,gltb,False
Line 4,gspd,False
Line 4,gtp pyrophosphokinase,False
Line 4,guac,False
Line 4,hcar,False
Line 4,hisa,False
Line 4,hisp,False
Line 4,hlyc/corc family transporter,False
Line 4,hpab,False
Line 4,hpad,False
Line 4,hpar,False
Line 4,hprs,True
Line 4,hypothetical protein,False
Line 4,hypothetical protein,False
Line 4,hypothetical protein,False
Line 4,hypothetical protein,False
Line 4,hypothetical protein,False
Line 4,hypothetical protein,False
Line 4,hypothetical protein,False
Line 4,is3 family transposase,False
Line 4,isovaleryl-coa dehydrogenase,False
Line 4,katg,False
Line 4,kdgr,False
Line 4,lamb,False
Line 4,ldha,False
Line 4,leua,False
Line 4,lyss,True
Line 4,mlaa,False
Line 4,mlaf,False
Line 4,mpl,True
Line 4,mrda,False
Line 4,msra,False
Line 4,multidrug efflux rnd transporter permease subunit,False
Line 4,murp,False
Line 4,nad(p)-dependent oxidoreductase,False
Line 4,nuog,False
Line 4,osme,False
Line 4,osmf,False
Line 4,pane,False
Line 4,paod,False
Line 4,pdeb,False
Line 4,pdxj,False
Line 4,pepa,False
Line 4,pgpa,False
Line 4,phage late control d family protein,False
Line 4,phnk,False
Line 4,phnk,False
Line 4,phoa,False
Line 4,porin,False
Line 4,ppid,False
Line 4,ppsa,True
Line 4,prepilin peptidase-dependent protein,False
Line 4,prophage tail fiber n-terminal domain-containingprotein,False
Line 4,pseudouridine kinase,False
Line 4,purl,True
Line 4,purm,True
Line 4,pykf,True
Line 4,rida family protein,False
Line 4,rne,False
Line 4,rpsd,False
Line 4,rutr,False
Line 4,serc,False
Line 4,sgrr,False
Line 4,sh3 domain-containing protein,False
Line 4,shet2/espl2 family type iii secretion system effector toxin,False
Line 4,speb,False
Line 4,spee,False
Line 4,sufb,False
Line 4,taua,False
Line 4,thim,True
Line 4,thrs,True
Line 4,tonb-dependent receptor,False
Line 4,tonb-dependent receptor plug domain-containing protein,False
Line 4,tyna,False
Line 4,upf0104 family protein,False
Line 4,uraa,False
Line 4,wgr domain-containing protein,False
Line 4,xtha,False
Line 4,yajq,False
Line 4,yebt,False
Line 4,ygey family selenium metabolism-linked hydrolase,False
Line 4,yhdp,False
Line 5,prepilin peptidase-dependent protein,False
Line 5,ansp,False
Line 5,deob,False
Line 5,ybha,False
Line 5,wgr and duf4132 domain-containing protein,False
Line 5,fimbrial biogenesis outer membrane usher protein,False
Line 5,abc transporter permease,False
Line 5,abrb family transcriptional regulator,False
Line 5,add,False
Line 5,ag43,False
Line 5,argh,False
Line 5,blc,False
Line 5,btue,False
Line 5,class i sam-dependent methyltransferase,False
Line 5,cmoa,False
Line 5,diguanylate cyclase,False
Line 5,duf2300 domain-containing protein,False
Line 5,duf4049 domain-containing protein,False
Line 5,duf4132 domain-containing protein,False
Line 5,duf441 domain-containing protein,False
Line 5,evgs,True
Line 5,flge,False
Line 5,flha,False
Line 5,gsid,False
Line 5,hcxa,False
Line 5,hyae,False
Line 5,hypothetical protein,False
Line 5,ion channel protein,False
Line 5,ispe,True
Line 5,kef family k(+) transporter,False
Line 5,leus,True
Line 5,lpxk,True
Line 5,lysozyme inhibitor lpri family protein,False
Line 5,maca,False
Line 5,macb,False
Line 5,maop,False
Line 5,mdtb,False
Line 5,mfs transporter,False
Line 5,modc,False
Line 5,nicotinamide mononucleotide deamidase-related protein yfay,False
Line 5,pabb,False
Line 5,plsx,False
Line 5,potf,False
Line 5,prophage tail fiber n-terminal domain-containingprotein,False
Line 5,recf,False
Line 5,recj,False
Line 5,rhs repeat-associated core domain-containing protein,False
Line 5,ribf,True
Line 5,rne,False
Line 5,rsxd,False
Line 5,rusa family crossover junction endodeoxyribonuclease,False
Line 5,sbcb,False
Line 5,sdr family oxidoreductase,False
Line 5,setb,False
Line 5,sodb,False
Line 5,sufs,False
Line 5,tcyp,False
Line 5,tetr family transcriptional regulator,False
Line 5,thil,True
Line 5,tolq,False
Line 5,yhev family putative metal-binding protein,False
Line 5,zinc-binding dehydrogenase,False
Line 5,fimbrial protein,False
Line 5,qsec,True
Line 5,fimbrial protein,False
Line 6,held,False
Line 6,hypothetical protein,False
Line 6,flha,False
Line 6,hipa,False
Line 6,dimethyl sulfoxide reductase subunit a,False
Line 6,amino acid permease,False
Line 6,bifunctional 3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase,False
Line 6,ycbx,False
Line 6,infb,False
Line 6,pbga,False
Line 6,dmlr,False
Line 6,hypothetical protein,False
Line 6,purm,True
Line 6,phoq,True
Line 6,copd,False
Line 6,speb,False
Line 6,apt,False
Line 6,deob,False
Line 6,duf1998 domain-containing protein,False
Line 6,duf2625 domain-containing protein,False
Line 6,emta,False
Line 6,fimbrial biogenesis outer membrane usher protein,False
Line 6,flavin reductase family protein,False
Line 6,flda,False
Line 6,fre,False
Line 6,gcl,False
Line 6,glycine zipper 2tm domain-containing protein,False
Line 6,gspe,False
Line 6,hypf,True
Line 6,mdth,False
Line 6,n-acetyltransferase,False
Line 6,nuon,False
Line 6,paob,False
Line 6,pepp,False
Line 6,pppa,False
Line 6,ppsa,True
Line 6,prob,True
Line 6,recj,False
Line 6,replication endonuclease,False
Line 6,rpon,False
Line 6,tetratricopeptide repeat-containing protein,False
Line 6,thrs,True
Line 6,viob,False
Line 6,ydil family protein,False
Line 7,phoa,False
Line 7,is3-like element isecb1 family transposase,False
Line 7,hypothetical protein,False
Line 7,deob,False
Line 7,cysp,False
Line 7,evgs,True
Line 7,rfbb,False
Line 7,ppib,False
Line 7,ankyrin repeat domain-containing protein,False
Line 7,pdxk,True
Line 7,phnj,False
Line 7,blaec,False
Line 7,feci,False
Line 7,ftr1 family protein,False
Line 7,nnr,False
Line 7,isas1 family transposase,False
Line 7,rnb,False
Line 7,sapa,False
Line 7,4fe-4s binding protein,False
Line 7,aas,False
Line 7,abc transporter permease,False
Line 7,abc transporter permease,False
Line 7,abc transporter permease,False
Line 7,aldehyde ferredoxin oxidoreductase,False
Line 7,alkb,False
Line 7,alle,False
Line 7,allr,False
Line 7,alls,False
Line 7,alpha-2-macroglobulin family protein,False
Line 7,amph,False
Line 7,amph,False
Line 7,amtb,False
Line 7,anion permease,False
Line 7,anion transporter,False
Line 7,anmk,True
Line 7,apbe,False
Line 7,appa,False
Line 7,aspartate:alanine antiporter,False
Line 7,baseplate assembly protein,False
Line 7,bglj,False
Line 7,bifunctional 3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase,False
Line 7,blaec,False
Line 7,bola,False
Line 7,citc,True
Line 7,citc,True
Line 7,citf,False
Line 7,citg,True
Line 7,clsb,False
Line 7,coda,False
Line 7,comec family protein,False
Line 7,cpdb,False
Line 7,cpsb,False
Line 7,cpsg,False
Line 7,csta,False
Line 7,csta,False
Line 7,cuer,False
Line 7,cyob,False
Line 7,dacd,False
Line 7,deor,False
Line 7,deor,False
Line 7,dinb,False
Line 7,ding,False
Line 7,dmpg,False
Line 7,dmsb,False
Line 7,dmsc,False
Line 7,dnae,False
Line 7,dnax,False
Line 7,dpib,True
Line 7,dpib,True
Line 7,duf1116 domain-containing protein,False
Line 7,duf1456 family protein,False
Line 7,duf2754 domain-containing protein,False
Line 7,duf2773 domain-containing protein,False
Line 7,duf2799 domain-containing protein,False
Line 7,duf418 family protein,False
Line 7,dxs,False
Line 7,eal domain-containing protein,False
Line 7,eal domain-containing protein,False
Line 7,eal domain-containing protein,False
Line 7,electron transfer flavoprotein subunit alpha/fixb family protein,False
Line 7,elyc,False
