gene,snp_count
fabd,1
fhue,1
flhb,1
glpa,1
glsa,1
hype,1
lacy,1
napf,1
sure,1
pagp,1
panb,1
pepb,1
rbn,1
ssea,1
tam,1
thii,1
type 1 fimbrial protein,1
csid,1
chaa,1
ccmc,1
araf,1
taub,1
thih,1
threonine/serine exporter,1
tyra,1
uracil/xanthine transporter,1
uvra,1
uxab,1
vals,1
wzc,1
ydiy family protein,1
ydjg,1
yeae,1
yfhl,1
yggf,1
yqhc,1
4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase,1
adenine methyltransferase,1
yaep family protein,1
